IRUC;NroEstablec;CodSector;CodFormato;CodCapitulo;FlagEstablecimiento;Clave;texto1;dato1;dato2;texto2;texto3;texto4;texto5;FAC_EXP
00000029733;000;015;M;00;1;00;1;999222;1073213;12;ACTIVIDADES DE RESTAURANTES;ACTIVIDADES DE RESTAURANTES;5610;7.2
00000175955;000;015;M;00;1;00;1;1211752;200000;12;SERVICIO DE ALIMENTACION;SERVICIO DE ALIMENTOS;5629;15.5
00000171521;000;015;M;00;1;00;1;1517642;1445291;12;RESTAURANT;RESTAURANT;5610;95
00000176738;000;015;M;00;1;00;1;747474;399054;12;VENTA Y DISTRIBUCION DE ALIMENTOS BOX LUNCH;ALIMENTACION;5610;92
00000021233;000;015;M;00;1;00;1;831731;929438;12;RESTAURANTE;SUMINISTRO DE ALIMENTOS;5610;78.5
00000109293;000;015;M;00;1;00;1;744268;741446;12;RESTAURANT Y ALQUILER VEHICULOS;INSUMOS PARA ELABORACION DE COMIDA;5610;7.2
00000150031;000;015;M;00;1;00;1;944446;932337;12;PREPARACION Y VENTA DE POLLOS A LA BRASA;PREPARACION Y VENTA POLLOS A LA BRASA;5610;47.321429
00000019549;000;015;M;00;1;00;1;1838810;2436379;12;RESTAURANTES VENTA DE CHICHARRONES;VENTA;5610;47.321429
00000025705;000;015;M;00;1;00;1;1973622;2092100;12;RESTAURANT;ACTIVIDADES DE R ESTAUR ANTES;5610;47.321429
00000144675;000;015;M;00;1;00;1;740676;619130;12;ACTIVIDADES DE RESTAURANTES;SERVICIO DE RESTAURANTES;5610;47.321429
00000175416;000;015;M;00;1;00;1;1901175;2202426;12;VENTA POLLO A LA BRASA;POLLO A LA BRASA;5610;47.321429
